12126, "Encore Action (West)  (12126)"
12128, "Starz in Black (West)  (12128)"
12130, "Flix (East)  (12130)"
12131, "Flix (West) (12131)"
12134, "Encore (West)  (12134)"
12135, "E!  (West)  (12135)"
12136, "NBC Universo  (12136)"
12137, "Mun2  (12137)"
12141, "Showtime 2 (East)  (12141)"
12145, "GSN (East)  (12145)"
12148, "Pivot  (12148)"
12153, "Bloomberg TV  (12153)"
12157, "TMC Xtra (West)  (12157)"
12164, "DMX Beautiful Instrumentals  (12164)"
12166, "DMX Classic Hits Blend  (12166)"
12169, "DMX Great Standards  (12169)"
12173, "Showtime 2 (West)  (12173)"
12174, "Showtime Beyond (East)  (12174)"
12175, "BBC America (East)  (12175)"
12176, "DMX Malt Shop Oldies  (12176)"
12274, "Showtime Beyond (West)  (12274)"
12294, "MC Jazz  (12294)"
12368, "INDEMAND HD  (12368)"
12393, "NFL Network HDTV  (12393)"
12467, "KTVZ HDTV NBC  (12467)"
12481, "KUSA HDTV NBC  (12481)"
12489, "KMGH HDTV ABC  (12489)"
12608, "GSN (West)  (12608)"
12609, "Altitude Sports \& Entertainment (Colorado)  (12609)"
12625, "Laff TV  (12625)"
12646, "MTV-U (12646)"
12661, "AWE  (12661)"
12674, "History Channel en Espanol  (12674)"
12675, "Cine Mexicano  (12675)"
12721, "Showtime HD West (12721)"
12743, "HBO HDTV (West)  (12743)"
12749, "KCNC HDTV CBS  (12749)"
12750, "KDVR HDTV FOX  (12750)"
12800, "ESPN2 HDTV  (12800)"
12811, "KASA Telemundo HDTV  (12811)"
12817, "TBS Superstation HDTV (East)  (12817)"
12820, "KGWN HDTV CBS  (12820)"
12850, "ESPNU  (12850)"
12870, "AWE HDTV  (12870)"
12883, "KOAT HDTV ABC  (12883)"
12904, "Altitude Sports & Entertainment (New Mexico and Wyoming)  (12904)"
12913, "KWGN HDTV CW  (12913)"
12972, "Outdoor Channel HD (12972)"
13002, "HBO Zone (West)  (13002)"
13008, "HBO Zone (East)  (13008)"
13010, "HBO Comedy (West)  (13010)"
13013, "HBO Comedy (East)  (13013)"
13072, "Hallmark Movies and Mysteries  (13072)"
13084, "MavTV  (13084)"
13104, "Uplifting Entertainment  (13104)"
13115, "KGW Quest  (13115)"
13229, "Universal Kids  (13229)"
13309, "KSL ThisTV  (13309)"
13338, "MTV2 (West)  (13338)"
13353, "teleN  (13353)"
13362, "KOB HDTV (13362)"
13470, "OPB Plus  (13470)"
13493, "Cloo  (13493)"
13530, "KLCW CW (13530)"
13551, "MTV Live  (13551)"
13634, "KVIA HDTV ABC  (13634)"
13654, "KWES HDTV NBC  (13654)"
13738, "Home \& Garden Television HDTV (East)  (13738)"
13739, "KOIN GET TV  (13739)"
13745, "National Geographic Channel HDTV  (13745)"
13750, "KTVD HDTV MeTV  (13750)"
13756, "Travel Channel (West)  (13756)"
13757, "Animal Planet (West)  (13757)"
13772, "KCDO  (13772)"
13776, "KVCW  (13776)"
13785, "KLAS HDTV MeTV  (13785)"
13790, "KTNV HDTV ABC  (13790)"
13801, "KVVU HDTV FOX (13801)"
13802, "KSNV HDTV NBC  (13802)"
13907, "Food Network HDTV (East)  (13907)"
13910, "Crime and Investigation Network (East)  (13910)"
13997, "Military History Channel  (13997)"
14624, "KOAA HDTV NBC  (14624)"
14709, "KKTVDT2  (14709)"
14710, "A\&E Network HDTV  (14710)"
14715, "KOHD HDTV ABC  (14715)"
14726, "KOHD SDTV  (14726)"
14881, "MC Love Songs  (14881)"
14961, "RFD-TV  (14961)"
14990, "Fox Sports SW HDTV  (14990)"
15000, "IN 01  (15000)"
15001, "IN 02  (15001)"
15002, "IN 03  (15002)"
15006, "IN 07  (15006)"
15029, "Hot Choice (15029)"
15054, "Brazzers TV  (15054)"
15056, "TenReal XX5  (15056)"
15106, "KOB THISTV  (15106)"
15128, "ReelzChannel (15128)"
15152, "HBO HDTV (East)  (15152)"
15165, "KVUE Estrella TV  (15165)"
15166, "KSNV Estrella (15166)"
15201, "NBC Sports Network HDTV  (15201)"
15211, "KTNV Laff TV  (15211)"
15264, "WE (West)  (15264)"
15274, "Fox Sports Arizona 24 7 HDTV  (15274)"
15280, "Smile of a Child (KPJR DT5)  (15280)"
15298, "KPTB GLC  (15298)"
15326, "KPEJ HDTV FOX  (15326)"
15407, "KTLE Telemundo 20  (15407)"
15410, "KLBK HDTV CBS  (15410)"
15414, "KCBD HDTV NBC  (15414)"
15505, "KPBT HDTV PBS  (15505)"
15542, "Penthouse XX.5  (15542)"
15580, "CHILLER  (15580)"
15643, "ATnT Sports Net HDTV  (15643)"
15653, "KCBD ThisTV  (15653)"
15665, "KJTV HDTV FOX  (15665)"
15737, "KPBT HDTV PBS  (15737)"
15860, "UniMAS  (15860)"
15873, "KWES CW Plus  (15873)"
15980, "KAMC HDTV ABC  (15980)"
15994, "KRWG HDTV PBS  (15994)"
16032, "Big Ten  (16032)"
16033, "Big Ten HDTV  (16033)"
16077, "STARZ Comedy HD (East)  (16077)"
16078, "STARZ Edge HD (East)  (16078)"
16079, "STARZ Kids \& Family HD (East)  (16079)"
16098, "History HDTV (East)  (16098)"
16116, "Fox Business Network  (16116)"
16120, "Animal Planet HDTV (East)  (16120)"
16121, "Science HDTV  (16121)"
16122, "Discovery Channel HDTV (East)  (16122)"
16123, "TLC HDTV  (16123)"
16129, "USA Network HDTV (East)  (16129)"
16136, "KRPV GLC  (16136)"
16141, "CNN HDTV  (16141)"
16221, "TVN - Television Nacional de Chile  (16221)"
16240, "LMN HDTV  (16240)"
16241, "Lifetime Movies HDTV (West)  (16241)"
16251, "Weather Channel HDTV  (16251)"
16259, "NBC Sports Northwest  (16259)"
16291, "SyFy HDTV  (16291)"
16298, "Fox Business Network HDTV  (16298)"
16317, "RLTV  (16317)"
16332, "CNBC HDTV  (16332)"
16340, "Showtime 2 HDTV (East)  (16340)"
16345, "MGM HDTV  (16345)"
16346, "FX HDTV (East)  (16346)"
16386, "DMX RAPture  (16386)"
16400, "KTVX MeTV  (16400)"
16401, "KUCW HD  (16401)"
16403, "Golf Channel HDTV  (16403)"
16405, "Womens Entertainment HDTV (East)  (16405)"
16412, "IFC HDTV (East)  (16412)"
16413, "Fuse HDTV (East)  (16413)"
16414, "AMC HDTV (East)  (16414)"
16485, "Travel Channel HDTV (East)  (16485)"
16512, "WKMG LATV  (16512)"
16535, "OPB HDTV  (16535)"
16536, "OPB Plus  (16536)"
16578, "WGN America HDTV  (16578)"
16584, "KFXO HDTV FOX  (16584)"
16664, "Cable Noticias  (16664)"
16671, "Tennis Channel HDTV  (16671)"
16672, "Hallmark Movies and Mysteries HDTV  (16672)"
16675, "ESPN News HDTV  (16675)"
16686, "Disney Channel HDTV (East)  (16686)"
16692, "Freeform HDTV (East)  (16692)"
16747, "FX HDTV (West)  (16747)"
16756, "Fox News Channel HDTV  (16756)"
16762, "QVC Network HDTV  (16762)"
16796, "KTFN UniMas 65 (16796)"
16798, "Lifetime Television HDTV (East)  (16798)"
16817, "Destination America HDTV  (16817)"
16842, "HBO 2 HDTV (West)  (16842)"
16843, "HBO Family HDTV (West)  (16843)"
16844, "HBO Signature HDTV (West)  (16844)"
16852, "CBS Sports Network HDTV  (16852)"
16865, "KSL HD NBC  (16865)"
16868, "KSTU HD FOX  (16868)"
16928, "HBO Comedy HDTV (West)  (16928)"
16929, "HBO Zone HDTV (West)  (16929)"
16954, "ActionMAX HDTV (West)  (16954)"
16967, "ESPNU HDTV  (16967)"
17001, "Playboy Digital  (17001)"
17144, "More Max HDTV (West)  (17144)"
17145, "ThrillerMAX HDTV (West)  (17145)"
17146, "MOVIEMAX HDTV  (17146)"
17283, "Showtime Showcase HDTV (West)  (17283)"
17285, "Showtime Extreme HDTV (West)  (17285)"
17287, "TMC Xtra HDTV (West)  (17287)"
17310, "Outer Max HDTV  (17310)"
17354, "Comedy Central HDTV (East)  17354)"
17357, "Mav TV HDTV  (17357)"
17358, "KOAB PBS OPB  (17358)"
17386, "CINEMAX HDTV  (17386)"
17387, "Five Star Max HDTV  (17387)"
17427, "Lifetime HDTV  (17427)"
17445, "KBNZ  (17445)"
17446, "E\! HDTV (East) (17446)"
17460, "KBNZ HDTV CBS (17460)"
17512, "MLB Network (17512)"
17531, "Colorado Public Television HD  (17531)"
17534, "KUSA Cozi TV  (17534)"
17535, "MLB Network HDTV (17535)"
17553, "IFC (West)  (17553)"
